Class,LazyClass,ComplexClass,LongParameterList,FeatureEnvy,LongMethod,BlobClass,MessageChain,RefusedBequest,SpaghettiCode,SpeculativeGenerality,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC,OO,OA,Both
eu.faircode.netguard.ActivityDns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
eu.faircode.netguard.ActivityForwardApproval,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,6
eu.faircode.netguard.ActivityForwarding,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,4,7
eu.faircode.netguard.ActivityLog,0,1,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,4,8
eu.faircode.netguard.ActivityMain,0,1,0,1,7,1,5,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,5,4,9
eu.faircode.netguard.ActivityPro,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,3,7
eu.faircode.netguard.ActivitySettings,0,1,0,1,6,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,5,5,10
eu.faircode.netguard.AdapterAccess,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,4
eu.faircode.netguard.AdapterDns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2
eu.faircode.netguard.AdapterForwarding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2
eu.faircode.netguard.AdapterLog,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,7
eu.faircode.netguard.AdapterRule,0,1,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,2,7
eu.faircode.netguard.Allowed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
eu.faircode.netguard.ApplicationEx,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3
eu.faircode.netguard.DatabaseHelper,0,1,4,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,3,7
eu.faircode.netguard.DownloadTask,0,1,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,4,8
eu.faircode.netguard.ExpandedListView,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
eu.faircode.netguard.Forward,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
eu.faircode.netguard.FragmentSettings,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
eu.faircode.netguard.GlideHelper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
eu.faircode.netguard.IAB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,3
eu.faircode.netguard.IPUtil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
eu.faircode.netguard.Packet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
eu.faircode.netguard.ReceiverAutostart,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
eu.faircode.netguard.ReceiverPackageRemoved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eu.faircode.netguard.ResourceRecord,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
eu.faircode.netguard.Rule,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3
eu.faircode.netguard.ServiceExternal,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4
eu.faircode.netguard.ServiceSinkhole,0,1,3,2,13,1,8,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,6,9,15
eu.faircode.netguard.ServiceTileFilter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
eu.faircode.netguard.ServiceTileGraph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
eu.faircode.netguard.ServiceTileLockdown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
eu.faircode.netguard.ServiceTileMain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
eu.faircode.netguard.SwitchPreference,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
eu.faircode.netguard.Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eu.faircode.netguard.Util,0,1,1,0,4,1,4,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,4,9
eu.faircode.netguard.Version,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
eu.faircode.netguard.WidgetAdmin,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
eu.faircode.netguard.WidgetLockdown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
eu.faircode.netguard.WidgetMain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,7,17,6,6,17,0,10,0,10,0,7,0,2,0,1,0,1,6,5,27,11,0,0,5,7,,,14
