CommitId;RefactoringType;RefactoringDetail
9f0cf429830fb84b2e5e1de23d184b3af1799f43;Rename Class;Rename Class	eu.faircode.netguard.Receiver renamed to eu.faircode.netguard.ReceiverAutostart
a86f281409ec5618f247dd3a23ccc82aa20c091e;Extract Method;Extract Method	private createNotificationChannels() : void extracted from public onCreate() : void in class eu.faircode.netguard.ApplicationEx
a86f281409ec5618f247dd3a23ccc82aa20c091e;Extract Method;Extract Method	private listenNetworkChanges() : void extracted from public onCreate() : void in class eu.faircode.netguard.ServiceSinkhole
a86f281409ec5618f247dd3a23ccc82aa20c091e;Extract Method;Extract Method	private listenConnectivityChanges() : void extracted from public onCreate() : void in class eu.faircode.netguard.ServiceSinkhole
a86f281409ec5618f247dd3a23ccc82aa20c091e;Extract Method;Extract Method	private unlistenNetworkChanges() : void extracted from public onDestroy() : void in class eu.faircode.netguard.ServiceSinkhole
a86f281409ec5618f247dd3a23ccc82aa20c091e;Extract Method;Extract Method	private setTaskColor(context Context) : void extracted from public setTheme(context Context) : void in class eu.faircode.netguard.Util
9e30ad752a8bb0acd341332711a62380355994c2;Rename Method;Rename Method	public reload_conditional(reason String context Context) : void renamed to public reload_interactive(reason String context Context) : void in class eu.faircode.netguard.ServiceSinkhole
e04db5d0f906235660af30185d60194ff9ac627a;Rename Method;Rename Method	public isInternational(context Context) : boolean renamed to public isNational(context Context) : boolean in class eu.faircode.netguard.Util
02cc7d41afa6db4bd621d56474eec81af133bee4;Move Method;Move Method	public notifyNewApplication(uid int context Context) : void from class eu.faircode.netguard.Receiver to public notifyNewApplication(uid int) : void from class eu.faircode.netguard.ServiceSinkhole
673810cca62598f950d5d6d2842dec5425101aa2;Rename Class;Rename Class	eu.faircode.netguard.Widget renamed to eu.faircode.netguard.WidgetMain
673810cca62598f950d5d6d2842dec5425101aa2;Extract Method;Extract Method	private menu_lockdown(item MenuItem) : void extracted from public onOptionsItemSelected(item MenuItem) : boolean in class eu.faircode.netguard.ActivityMain
401355f978fc61d4459f6ee9ab06109d8fe4cbe3;Extract Method;Extract Method	private isLockedDown(metered boolean) : boolean extracted from private prepareUidIPFilters(dname String) : void in class eu.faircode.netguard.ServiceSinkhole
401355f978fc61d4459f6ee9ab06109d8fe4cbe3;Extract Method;Extract Method	private isLockedDown(metered boolean) : boolean extracted from private getAllowedRules(listRule List<Rule>) : List<Rule> in class eu.faircode.netguard.ServiceSinkhole
401355f978fc61d4459f6ee9ab06109d8fe4cbe3;Extract Method;Extract Method	private isLockedDown(metered boolean) : boolean extracted from private getEnforcingNotification(allowed int blocked int hosts int) : Notification in class eu.faircode.netguard.ServiceSinkhole
e295abfffa7da75961b8811c7aa31fe6acd615a0;Rename Method;Rename Method	private getIntent(packageName String context Context) : Intent renamed to private getIntentLaunch(packageName String context Context) : Intent in class eu.faircode.netguard.Rule
2b2e7175417c85c08430e1c79e44575dac9fc794;Rename Method;Rename Method	private loadAds() : void renamed to private initAds() : void in class eu.faircode.netguard.ActivityMain
2b2e7175417c85c08430e1c79e44575dac9fc794;Rename Method;Rename Method	private reloadAds() : void renamed to private enableAds() : void in class eu.faircode.netguard.ActivityMain
2b2e7175417c85c08430e1c79e44575dac9fc794;Inline Method;Inline Method	private recreateAds() : void inlined to private disableAds() : void in class eu.faircode.netguard.ActivityMain
2b2e7175417c85c08430e1c79e44575dac9fc794;Inline Method;Inline Method	private requestAds() : void inlined to private enableAds() : void in class eu.faircode.netguard.ActivityMain
82dfd13c2e629bd40e39e4f063f4f22e21983ff7;Extract Method;Extract Method	private recreateAds() : void extracted from private reloadAds() : void in class eu.faircode.netguard.ActivityMain
82dfd13c2e629bd40e39e4f063f4f22e21983ff7;Extract Method;Extract Method	private recreateAds() : void extracted from private disableAds() : void in class eu.faircode.netguard.ActivityMain
8ccf97047b765ce9b2f06f61771f08849d9f1f25;Extract Method;Extract Method	private showHints() : void extracted from protected onCreate(savedInstanceState Bundle) : void in class eu.faircode.netguard.ActivityMain
92ce19211a27298bf97018e4cb05ec8bd5a18c44;Move Attribute;Move Attribute	public INTENT_ON : String from class eu.faircode.netguard.Widget to class eu.faircode.netguard.WidgetAdmin
92ce19211a27298bf97018e4cb05ec8bd5a18c44;Move Attribute;Move Attribute	public INTENT_OFF : String from class eu.faircode.netguard.Widget to class eu.faircode.netguard.WidgetAdmin
92ce19211a27298bf97018e4cb05ec8bd5a18c44;Move Method;Move Method	public onReceive(context Context intent Intent) : void from class eu.faircode.netguard.Widget to public onReceive(context Context intent Intent) : void from class eu.faircode.netguard.WidgetAdmin
ede7219684528ce5cda766e23852cd7ba485d7a0;Extract Method;Extract Method	private update() : void extracted from public onStartListening() : void in class eu.faircode.netguard.ServiceTileGraph
ede7219684528ce5cda766e23852cd7ba485d7a0;Extract Method;Extract Method	private update() : void extracted from public onSharedPreferenceChanged(prefs SharedPreferences key String) : void in class eu.faircode.netguard.ServiceTileGraph
ede7219684528ce5cda766e23852cd7ba485d7a0;Extract Method;Extract Method	private update() : void extracted from public onStartListening() : void in class eu.faircode.netguard.ServiceTileMain
ede7219684528ce5cda766e23852cd7ba485d7a0;Extract Method;Extract Method	private update() : void extracted from public onSharedPreferenceChanged(prefs SharedPreferences key String) : void in class eu.faircode.netguard.ServiceTileMain
e707529560aa86d6f554cca3984caa0e77a06f8d;Rename Class;Rename Class	eu.faircode.netguard.ServiceTile renamed to eu.faircode.netguard.ServiceTileMain
857ba8890b0eab5bf6ae70466cfba2cec19f95e3;Extract Method;Extract Method	public getFingerprint(context Context) : String extracted from public hasValidFingerprint(context Context) : boolean in class eu.faircode.netguard.Util
090f43bf12897da7eb6d9ca8901b265b73623f4a;Rename Method;Rename Method	private showExitNotification(reason String) : void renamed to private showErrorNotification(message String) : void in class eu.faircode.netguard.ServiceSinkhole
22741f34765345414b2cb99b6b91978720763259;Move Method;Move Method	private set(intent Intent) : void from class eu.faircode.netguard.ServiceSinkhole.CommandHandler to private set(intent Intent) : void from class eu.faircode.netguard.ServiceSinkhole
fffc2947253c83a577c085d0d9327bcb4da5dc78;Rename Method;Rename Method	public updatePackages(context Context) : void renamed to public clearCache(context Context) : void in class eu.faircode.netguard.Rule
cdacbec33971b0aa160ab26ddf76133e80efb837;Extract Method;Extract Method	private getPackages(context Context) : List<PackageInfo> extracted from public getRules(all boolean context Context) : List<Rule> in class eu.faircode.netguard.Rule
cdacbec33971b0aa160ab26ddf76133e80efb837;Extract Method;Extract Method	private getLabel(info PackageInfo context Context) : String extracted from private Rule(info PackageInfo context Context) in class eu.faircode.netguard.Rule
cdacbec33971b0aa160ab26ddf76133e80efb837;Extract And Move Method;Extract And Move Method	public isEnabled(info PackageInfo context Context) : boolean extracted from private Rule(info PackageInfo context Context) in class eu.faircode.netguard.Rule & moved to class eu.faircode.netguard.Util
df04c29f1c6a3d3211502233a1f6f5ac6b990842;Rename Class;Rename Class	eu.faircode.netguard.SinkholeService renamed to eu.faircode.netguard.ServiceSinkhole
cb70d35a5107b2b96adab9939d2df201c63a3657;Rename Method;Rename Method	private startVPN(listAllowed List<Rule> listRule List<Rule>) : ParcelFileDescriptor renamed to private getBuilder(listAllowed List<Rule> listRule List<Rule>) : Builder in class eu.faircode.netguard.SinkholeService
e6bdf5c77d9b96617b75bd59cbda088e8f3d6ee2;Extract And Move Method;Extract And Move Method	public queue(intent Intent) : void extracted from public onStartCommand(intent Intent flags int startId int) : int in class eu.faircode.netguard.SinkholeService & moved to class eu.faircode.netguard.SinkholeService.CommandHandler
19b0fe25a59280bb16ec576fb86780ce5e7d5ac6;Extract Method;Extract Method	private checkExtras(intent Intent) : void extracted from protected onCreate(savedInstanceState Bundle) : void in class eu.faircode.netguard.ActivityMain
72815e6e7927cc1e82f81cc8a52ba21c8195bd55;Rename Class;Rename Class	eu.faircode.netguard.AccessAdapter renamed to eu.faircode.netguard.AdapterAccess
72815e6e7927cc1e82f81cc8a52ba21c8195bd55;Rename Class;Rename Class	eu.faircode.netguard.DnsAdapter renamed to eu.faircode.netguard.AdapterDns
72815e6e7927cc1e82f81cc8a52ba21c8195bd55;Rename Class;Rename Class	eu.faircode.netguard.ForwardingAdapter renamed to eu.faircode.netguard.AdapterForwarding
72815e6e7927cc1e82f81cc8a52ba21c8195bd55;Rename Class;Rename Class	eu.faircode.netguard.LogAdapter renamed to eu.faircode.netguard.AdapterLog
72815e6e7927cc1e82f81cc8a52ba21c8195bd55;Rename Class;Rename Class	eu.faircode.netguard.RuleAdapter renamed to eu.faircode.netguard.AdapterRule
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityForwarding to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityLog to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityMain to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivitySettings.XmlImportHandler to class eu.faircode.netguard.DatabaseHelper
