Application;Code smell;MIM;NLMR;SL;LIC;UC;DTWC;LT;IGS;IDS;DW;RAM;DR;IDFP;ISQLQ
Apg;Classes affected;190;53;45;29;29;14;15;0;2;0;0;0;0;0
;percentage(%);70;19;17;11;11;5;6;0;1;0;0;0;0;0
NetGuard;Classes affected;27;11;5;6;7;7;5;1;1;0;0;0;0;0
;percentage(%);66;26;12;15;17;17;12;2;2;0;0;0;0;0
Omni-Notes;Classes affected;73;19;14;10;6;15;1;4;0;0;0;0;0;0
;percentage(%);38;10;7;5;3;8;1;2;0;0;0;0;0;0
Congress;Classes affected;37;36;18;14;2;0;2;1;0;0;0;0;0;0
;percentage(%);42;41;20;16;2;0;2;1;0;0;0;0;0;0
Notepad;Classes affected;86;35;28;27;23;13;8;2;3;0;0;0;0;0
;percentage(%);53;22;17;17;14;8;5;1;2;0;0;0;0;0
Combined;Classes affected;413;154;110;86;67;49;31;8;6;0;0;0;0;0
;percentage(%);55;21;15;12;9;7;4;1;1;0;0;0;0;0
