Application;Code smell;LM;MC;LPL;CC;FE;LC;SC;BC;SG;RB
Apg;Classes affected;93;47;55;54;58;21;17;12;11;6
;percentage(%);34;17;20;20;21;8;6;4;4;2
NetGuard;Classes affected;17;10;6;17;6;7;10;6;0;0
;percentage(%);41;24;15;41;15;17;24;15;0;0
Omni-Notes;Classes affected;15;48;24;13;23;35;3;5;2;0
;percentage(%);8;25;13;7;12;18;2;3;1;0
Congress;Classes affected;9;8;20;9;9;10;1;4;1;10
;percentage(%);10;9;23;10;10;11;1;5;1;11
Notepad;Classes affected;33;39;31;24;18;21;11;7;10;7
;percentage(%);21;24;19;15;11;13;7;4;6;4
Combined;Classes affected;167;152;136;117;114;94;42;34;24;23
;percentage(%);22;20;18;16;15;13;6;5;3;3
